file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,e2ff213f,CherieXiao,2025-01-11,23:15:28,-08:00,2025-01-11T23:15:28-08:00,0,5
style.css,2,css,e2ff213f,CherieXiao,2025-01-11,23:15:28,-08:00,2025-01-11T23:15:28-08:00,0,44
style.css,3,css,e2ff213f,CherieXiao,2025-01-11,23:15:28,-08:00,2025-01-11T23:15:28-08:00,0,43
style.css,4,css,e2ff213f,CherieXiao,2025-01-11,23:15:28,-08:00,2025-01-11T23:15:28-08:00,0,1
style.css,5,css,733d89cb,CherieXiao,2025-01-17,18:09:49,-08:00,2025-01-17T18:09:49-08:00,0,0
style.css,6,css,71ef291f,CherieXiao,2025-01-17,18:16:47,-08:00,2025-01-17T18:16:47-08:00,0,16
style.css,7,css,733d89cb,CherieXiao,2025-01-17,18:09:49,-08:00,2025-01-17T18:09:49-08:00,0,19
style.css,8,css,71ef291f,CherieXiao,2025-01-17,18:16:47,-08:00,2025-01-17T18:16:47-08:00,0,13
style.css,9,css,e2ff213f,CherieXiao,2025-01-11,23:15:28,-08:00,2025-01-11T23:15:28-08:00,0,24
style.css,10,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,33
style.css,11,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,0
style.css,12,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,0
style.css,13,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,5
style.css,14,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,34
style.css,15,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,33
style.css,16,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,34
style.css,17,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,0
style.css,18,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,0
style.css,19,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,4
style.css,20,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,13
style.css,21,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,19
style.css,22,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,42
style.css,23,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,0
style.css,24,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,6
style.css,25,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,7
style.css,26,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,21
style.css,27,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,14
style.css,28,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,18
style.css,29,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,14
style.css,30,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,0
style.css,31,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,0
style.css,32,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,14
style.css,33,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,44
style.css,34,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,21
style.css,35,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,17
style.css,36,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,0
style.css,37,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,0
style.css,38,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,12
style.css,39,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,46
style.css,40,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,21
style.css,41,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,17
style.css,42,css,87e2b735,CherieXiao,2025-01-25,19:33:54,-08:00,2025-01-25T19:33:54-08:00,0,70
style.css,43,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,0
style.css,44,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,24
style.css,45,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,13
style.css,46,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,0
style.css,47,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,14
style.css,48,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,14
style.css,49,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,20
style.css,50,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,0
style.css,51,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,10
style.css,52,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,13
style.css,53,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,12
style.css,54,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,14
style.css,55,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,11
style.css,56,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,19
style.css,57,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,22
style.css,58,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,3
style.css,59,css,df20fa0d,CherieXiao,2025-01-17,20:07:13,-08:00,2025-01-17T20:07:13-08:00,0,0
style.css,60,css,e54a3987,CherieXiao,2025-01-17,20:08:10,-08:00,2025-01-17T20:08:10-08:00,0,5
